ID,Lib_Protocol,SRA,col0,ID_fasta,GenesSAPA_onlySACE,PhyloGroup_SACE469,Region_Pre,Region_New,YMX_NumID,Subgroup_New,Subgroup_Pre,Figura2
YMX005637,PE,,194,YMX005637,19,NortAmOak,Balsas_basin,Balsas basin,YMX005637,NortAmOak_Balsas basin,NortAmOak_Balsas_basin,1
YMX005638,PE,,195,YMX005638,14,MixOrigin8,West,West II,YMX005638,MixOrigin8_West II,MixOrigin8_West,1
YMX005639,PE,,196,YMX005639,80,Tequila,West,West II,YMX005639,Tequila_West II,Tequila_West,1
YMX005640,PE,,197,YMX005640,88,Tequila,West,West II,YMX005640,Tequila_West II,Tequila_West,1
YMX005641,PE,,198,YMX005641,14,MixOrigin8,West,West II,YMX005641,MixOrigin8_West II,MixOrigin8_West,1
YMX005642,PE,,199,YMX005642,111,Tequila,West,West II,YMX005642,Tequila_West II,Tequila_West,1
YMX005645,PE,,200,YMX005645,104,Tequila,West,West II,YMX005645,Tequila_West II,Tequila_West,1
YMX005646,PE,,201,YMX005646,149,Tequila,West,Unknown,YMX005646,Tequila_Unknown,Tequila_West,1
YMX506H07,PE,,203,YMX506H07,137,MMMG,Southcentral,South central,YMX009814,MMMG_South central,MMMG_Southcentral,1
YMX506H08,PE,,204,YMX506H08,125,MMMG,Southcentral,South central,YMX009815,MMMG_South central,MMMG_Southcentral,1
YMX506H09,PE,,205,YMX506H09,168,MMMG,Southcentral,South central,YMX009816,MMMG_South central,MMMG_Southcentral,1
YMX507A02,PE,,206,YMX507A02,149,MMMG,Northwest,West I,YMX009821,MMMG_West I,MMMG_Northwest,1
YMX507A04,PE,,207,YMX507A04,269,Tamaulipas,Northeast,Northeast,YMX009823,Tamaulipas_Northeast,Tamaulipas_Northeast,1
YMX507A05,PE,,208,YMX507A05,268,Tamaulipas,Northeast,Northeast,YMX009824,Tamaulipas_Northeast,Tamaulipas_Northeast,1
YMX507A06,PE,,209,YMX507A06,166,Tamaulipas,Northeast,Northeast,YMX009825,Tamaulipas_Northeast,Tamaulipas_Northeast,1
YMX507A07,PE,,210,YMX507A07,277,Tamaulipas,Northeast,Northeast,YMX009826,Tamaulipas_Northeast,Tamaulipas_Northeast,1
YMX507B01,PE,,211,YMX507B01,81,Tequila,West,West II,YMX009832,Tequila_West II,Tequila_West,1
YMX507B02,PE,,212,YMX507B02,80,Tequila,West,West II,YMX009833,Tequila_West II,Tequila_West,1
YMX507B03,PE,,213,YMX507B03,117,Tequila,West,West II,YMX009834,Tequila_West II,Tequila_West,1
YMX507B04,PE,,214,YMX507B04,89,Tequila,West,West II,YMX009835,Tequila_West II,Tequila_West,1
YMX507B05,PE,,215,YMX507B05,106,Tequila,West,West II,YMX009836,Tequila_West II,Tequila_West,1
YMX507B06,PE,,216,YMX507B06,125,Tequila,West,West II,YMX009837,Tequila_West II,Tequila_West,1
YMX507B07,PE,,217,YMX507B07,123,Tequila,West,West II,YMX009838,Tequila_West II,Tequila_West,1
YMX506F12,PE,,218,YMX506F12,373,Tamaulipas,Northeast,Northeast,YMX009795,Tamaulipas_Northeast,Tamaulipas_Northeast,1
JS109c1,PE,,219,JS109c1,152,MMMG,Southcentral,JS-MEX,ERS1082903,MMMG_JS-MEX,MMMG_Southcentral,1
JS497c1,PE,,220,JS497c1,146,MMMG,West,JS-MEX,ERS1082384,MMMG_JS-MEX,MMMG_West,1
JS863c1,PE,,221,JS863c1,150,Tamaulipas,Northeast,JS-MEX,ERS1082913,Tamaulipas_JS-MEX,Tamaulipas_Northeast,1
JS462c1,PE,,222,JS462c1,217,Tamaulipas,Northeast,JS-MEX,ERS1082915,Tamaulipas_JS-MEX,Tamaulipas_Northeast,1
JS421c1,PE,,223,JS421c1,170,Tamaulipas,Northeast,JS-MEX,ERS1082910,Tamaulipas_JS-MEX,Tamaulipas_Northeast,1
JS273c1,PE,,224,JS273c1,280,Tamaulipas,Northeast,JS-MEX,ERS1082914,Tamaulipas_JS-MEX,Tamaulipas_Northeast,1
JS240c1,PE,,225,JS240c1,285,Tamaulipas,Northeast,JS-MEX,ERS1082916,Tamaulipas_JS-MEX,Tamaulipas_Northeast,1
JS880c1,PE,,226,JS880c1,147,Tamaulipas,Northeast,JS-MEX,ERS1082912,Tamaulipas_JS-MEX,Tamaulipas_Northeast,1
JS806c1,PE,,227,JS806c1,148,Tamaulipas,Northeast,JS-MEX,ERS1082911,Tamaulipas_JS-MEX,Tamaulipas_Northeast,1
JS326c1,PE,,228,JS326c1,65,FG,FG,JS-FG,ERS1082424,FG_JS-FG,FG_FG,1
JS210c1,PE,,229,JS210c1,56,FG,FG,JS-FG,ERS1082425,FG_JS-FG,FG_FG,1
JS818c1,PE,,230,JS818c1,75,FG,FG,JS-FG,ERS1082426,FG_JS-FG,FG_FG,1
JS835c1,PE,,231,JS835c1,76,FG,FG,JS-FG,ERS1082427,FG_JS-FG,FG_FG,1
JS171c1,PE,,232,JS171c1,64,FG,FG,JS-FG,ERS1082428,FG_JS-FG,FG_FG,1
JS208c1,PE,,233,JS208c1,54,FG,FG,JS-FG,ERS1082429,FG_JS-FG,FG_FG,1
JS014c1,PE,,234,JS014c1,54,FG,FG,JS-FG,ERS1082430,FG_JS-FG,FG_FG,1
JS889c1,PE,,235,JS889c1,55,FG,FG,JS-FG,ERS1082431,FG_JS-FG,FG_FG,1
JS654c1,PE,,236,JS654c1,65,FG,FG,JS-FG,ERS1082432,FG_JS-FG,FG_FG,1
JS150c1,PE,,237,JS150c1,70,FG,FG,JS-FG,ERS1082433,FG_JS-FG,FG_FG,1
JS933c1,PE,,238,JS933c1,67,FG,FG,JS-FG,ERS1082570,FG_JS-FG,FG_FG,1
JS440c1,PE,,239,JS440c1,123,SAM2,FG,JS-FG,ERS1082935,SAM2_JS-FG,SAM2_FG,1
JS387c1,PE,,240,JS387c1,56,FG,FG,JS-FG,ERS1082571,FG_JS-FG,FG_FG,1
JS922c1,PE,,241,JS922c1,61,FG,FG,JS-FG,ERS1082572,FG_JS-FG,FG_FG,1
JS114c1,PE,,242,JS114c1,67,FG,FG,JS-FG,ERS1082573,FG_JS-FG,FG_FG,1
