ID,PhyloGroup_SACE469
YMX507A06,Tamaulipas
YMX507A07,Tamaulipas
YMX507B01,Tequila
YMX507B02,Tequila
YMX507B03,Tequila
YMX507B04,Tequila
YMX507B05,Tequila
YMX507B06,Tequila
YMX507B07,Tequila
YMX506F12,Tamaulipas
JS109c1,MMMG
JS497c1,MMMG
JS863c1,Tamaulipas
JS462c1,Tamaulipas
JS421c1,Tamaulipas
JS273c1,Tamaulipas
JS240c1,Tamaulipas
JS880c1,Tamaulipas
JS806c1,Tamaulipas
JS326c1,FG
JS210c1,FG
JS818c1,FG
JS835c1,FG
JS171c1,FG
JS208c1,FG
JS014c1,FG
JS889c1,FG
JS654c1,FG
JS150c1,FG
JS933c1,FG
JS440c1,SAM2
JS387c1,FG
JS922c1,FG
JS114c1,FG
JS277c1,FG
JS861c1,FG
JS691c1,FG
JS468c1,FG
JS263c1,FG
JS599c1,FG
JS527c1,FG
JS310c1,FG
JS311c1,FG
JS759c1,FG
JS165c1,FG
JS728c1,FG
JS246c1,FG
JS270c1,FG
JS754c1,FG
ERR1309090,SAM1
ERR1308655,SAM1
JS646c1,SAM1
ERR1308971,SAM1
ERR1309222,SAM1
ERR1309013,SAM1
ERR1308722,SAM1
BR020c1,SAM1
BR002c1,SAM1
BR003c1,SAM1
BR022c1,SAM1
BR004c1,SAM1
BR024c1,SAM1
BR005c1,SAM1
BR006c1,SAM1
BR025c1,SAM1
BR007c1,SAM1
BR027c1,SAM1
BR028c1,SAM1
BR012c1,SAM1
BR013c1,SAM1
BR014c1,SAM1
ERR2299987,SAM1
BR015c1,SAM1
BR016c1,SAM1
SRR5678625,SAM1
ERR1308993,SAM1
ERR1309443,SAM1
ERR1308776,SAM1
ERR1309514,SAM2
ERR1309020,SAM2
BR021c1,SAM2
BR023c1,SAM1
BR010c1,SAM2
BR011c1,SAM2
SRR800827,SAM2
ERR1309288,SAM3
ERR756202,SAM3
SRR5678661,SAM3
SRR5678667,SAM3
ERR2299969,SAM3
BR001c1,SAM3
ERR2299976,SAM3
ERR2299978,SAM3
ERR2299979,SAM3
ERR2299980,SAM3
ERR2299981,SAM3
ERR2299982,SAM3
ERR2299983,SAM3
ERR2299984,SAM3
BR026c1,SAM3
SRR800806,SAM3
ERR1308822,MixOrigin8
JS423c1,MosR3
JS678c1,MedOak
JS089c1,NortAmOak
JS474c1,MedOak
JS682c1,MixOrigin8
JS649c1,Wine12
ERR1309321,MixOrigin8
JS382c1,AfrBeer
JS194c1,MosR3
JS348c1,Wine14
JS375c1,CHNIV
JS722c1,AleBeer
JS345c1,Wine12
JS389c1,Sake_AsianFerm
JS719c1,MixOrigin8
JS502c1,MixOrigin8
JS553c1,MixOrigin8
ERR1309444,MixOrigin8
JS510c1,MosBeer
JS402c1,MosR3_Sake
JS783c1,Wine12
ERR1308649,AsianIslands_MR3
JS204c1,Wine12
JS033c1,Wine12
JS460c1,AleBeer
JS356c1,Sake_AsianFerm
JS161c1,Wine14
JS937c1,Alpechin
JS191c1,Alpechin
JS346c1,AsianIslands_MR3
JS925c1,Alpechin
JS157c1,Alpechin
JS915c1,Alpechin
JS293c1,AfricanPalmWine
JS825c1,Wine12
JS288c1,Wine12
JS025c1,Alpechin
JS410c1,Wine12
JS319c1,Wine14
JS499c1,MixOrigin8
JS065c1,AleBeer
JS903c1,MosR3
JS378c1,Wine12
JS032c1,MosBeer
JS070c1,MR2_Wine
JS740c1,MixOrigin8
JS862c1,AleBeer
JS211c1,Alpechin
JS104c1,Alpechin
JS585c1,MixOrigin8
JS906c1,Wine12
JS735c1,AleBeer
JS657c1,AfrBeer
JS368c1,MosR1_WINE
JS166c1,MosR1_WINE
JS294c1,Sake_AsianFerm
JS160c1,MixOrigin8
ERR1308608,MixOrigin8
ERR1309212,MixOrigin8
ERR1309203,MixOrigin8
JS080c1,MosBeer
JS419c1,FrenDairy
ERR1308849,MixOrigin8
ERR1309445,MixOrigin8
JS827c1,Wine12
JS688c1,Wine14
JS445c1,Wine12
JS022c1,Wine12
JS898c1,Wine12
JS741c1,Wine12
JS671c1,FrenDairy
JS760c1,Wine12
JS308c1,Wine14
JS002c1,Wine12
JS274c1,Alpechin
JS939c1,MosBeer
JS804c1,AsianIslands_MR3
JS772c1,Wine14
JS611c1,Taiwanese
JS757c1,Taiwan
JS127c1,Taiwan
JS594c1,Alpechin
JS910c1,MedOak
JS733c1,Wine12
JS624c1,AfricanPalmWine
JS677c1,AfricanPalmWine
JS385c1,AfricanPalmWine
JS086c1,CHNIII
JS771c1,Mal19yCHNV
JS418c1,CHNI
ERR1308975,NortAmOak
JS581c1,Sake_AsianFerm
JS252c1,FEAsia
JS928c1,Wine14
JS094c1,Wine14
JS229c1,Wine14
JS119c1,AfrBeer
JS574c1,Wine12
JS254c1,Wine14
JS471c1,MosR3
ERR1309078,FERussia
JS670c1,MedOak
JS417c1,FERussia
JS372c1,FERussia
JS454c1,CHNIV
ERR1309100,NortAmOak
ERR1308783,NortAmOak
ERR1308685,NortAmOak
JS329c1,AfricanPalmWine
JS562c1,Sake_AsianFerm
JS262c1,Sake_AsianFerm
JS525c1,SAM3
JS885c1,SAM3
JS846c1,SAM3
JS579c1,SAM3
ERR1309363,AsianIslands_MR3
JS163c1,SAM3
JS008c1,Sake_AsianFerm
ERR1309074,MixOrigin8
ERR1309133,MixOrigin8
JS660c1,Wine12
JS038c1,MixOrigin8
JS807c1,MixOrigin8
JS403c1,Wine12
JS281c1,SAM3
JS542c1,CHNIII
JS748c1,Sake_AsianFerm
JS247c1,MosR3_Wine
JS612c1,MosR3
JS756c1,AleBeer
JS737c1,Alpechin
JS321c1,Alpechin
JS773c1,Wine12
ERR1308637,SAM1
BR008c1,MosR3
BR009c1,NortAmOak
ERR1308794,MR2_Wine
JS098c1,Mal19yCHNV
JS561c1,Sake_AsianFerm
JS576c1,AsianIslands_MR3
JS881c1,AsianIslands_MR3
JS849c1,AfricanPalmWine
SRR800836,NortAmOak
SRR800838,NortAmOak
SRR800841,MixOrigin8
JS312c1,MosR3_Wine
JS817c1,Wine12
ERR1308708,NortAmOak
ERR1309458,NortAmOak
JS781c1,NortAmOak
ERR1308915,NortAmOak
ERR1308999,NortAmOak
ERR1308678,MixOrigin8
ERR1309296,MixOrigin8
ERR1309119,MixOrigin8
ERR1309378,MixOrigin8
JS774c1,MedOak
JS235c1,MosR3
