Comparación	Mean_Fst	Weighted_Fst
CHNIV_vs_Mal19yCHNV	0.20992	0.36388
CHNIV_vs_MedOak	0.57588	0.7681
CHNIV_vs_MixOrigin8	0.32691	0.53424
CHNIV_vs_MMMG	0.30417	0.73732
CHNIV_vs_MosBeer	0.37608	0.58354
CHNIV_vs_MosR1_WINE	0.40788	0.59946
CHNIV_vs_MosR3_Sake	0.30501	0.57818
CHNIV_vs_MosR3	0.10212	0.33819
CHNIV_vs_MosR3_Wine	0.38276	0.56001
CHNIV_vs_MR2_Wine	0.55315	0.71455
CHNIV_vs_NortAmOak	0.14777	0.4617
CHNIV_vs_Sake_AsianFerm	0.339	0.6532
CHNIV_vs_SAM1	0.32867	0.70395
CHNIV_vs_SAM2	0.20301	0.51141
CHNIV_vs_SAM3	0.26715	0.59282
CHNIV_vs_Taiwanese	0.64809	0.80722
CHNIV_vs_Taiwan	0.61057	0.75935
CHNIV_vs_Tamaulipas	0.60531	0.7439
CHNIV_vs_Tequila	0.23335	0.48397
CHNIV_vs_Wine12	0.3498	0.80312
CHNIV_vs_Wine14	0.59042	0.8256
FEAsia_vs_FERussia	0.20222	0.51106
FEAsia_vs_FG	0.55342	0.86339
FEAsia_vs_FrenDairy	0.04337	0.37709
FEAsia_vs_Mal19yCHNV	-0.25154	0.086261
FEAsia_vs_MedOak	0.51122	0.81746
FEAsia_vs_MixOrigin8	0.14675	0.5219
FEAsia_vs_MMMG	0.032698	0.73558
FEAsia_vs_MosBeer	0.17775	0.55675
FEAsia_vs_MosR1_WINE	0.3645	0.62964
FEAsia_vs_MosR3_Sake	-nan	-nan
FEAsia_vs_MosR3	-0.28571	0.21966
FEAsia_vs_MosR3_Wine	0.19952	0.49863
FEAsia_vs_MR2_Wine	0.66756	0.81854
FEAsia_vs_NortAmOak	-0.31233	0.38897
FEAsia_vs_Sake_AsianFerm	0.085805	0.64615
FEAsia_vs_SAM1	0.019003	0.69967
FEAsia_vs_SAM2	-0.1366	0.4561
FEAsia_vs_SAM3	-0.010486	0.57377
FEAsia_vs_Taiwanese	-nan	-nan
FEAsia_vs_Taiwan	0.9845	0.99283
FEAsia_vs_Tamaulipas	0.51772	0.75127
FEAsia_vs_Tequila	0.031792	0.45291
FEAsia_vs_Wine12	0.050871	0.8134
FEAsia_vs_Wine14	0.51034	0.8508
FERussia_vs_FG	0.65335	0.8397
FERussia_vs_FrenDairy	0.29664	0.44533
FERussia_vs_Mal19yCHNV	0.24017	0.35905
FERussia_vs_MedOak	0.53666	0.70786
FERussia_vs_MixOrigin8	0.31053	0.47275
FERussia_vs_MMMG	0.36527	0.72638
FERussia_vs_MosBeer	0.36061	0.53125
FERussia_vs_MosR1_WINE	0.38476	0.53599
FERussia_vs_MosR3_Sake	0.2014	0.49611
FERussia_vs_MosR3	0.10673	0.26745
FERussia_vs_MosR3_Wine	0.35606	0.5098
FERussia_vs_MR2_Wine	0.48899	0.63888
FERussia_vs_NortAmOak	0.1428	0.3483
FERussia_vs_Sake_AsianFerm	0.29565	0.55891
FERussia_vs_SAM1	0.32815	0.64132
FERussia_vs_SAM2	0.2554	0.51256
FERussia_vs_SAM3	0.28289	0.54683
FERussia_vs_Taiwanese	0.63568	0.81052
FERussia_vs_Taiwan	0.42508	0.61119
FERussia_vs_Tamaulipas	0.59275	0.72189
FERussia_vs_Tequila	0.24584	0.44876
FERussia_vs_Wine12	0.37775	0.76937
FERussia_vs_Wine14	0.56188	0.78283
FG_vs_FrenDairy	0.62576	0.79611
FG_vs_Mal19yCHNV	0.66509	0.83201
FG_vs_MedOak	0.55212	0.80725
FG_vs_MixOrigin8	0.37791	0.6769
FG_vs_MMMG	0.23953	0.63332
FG_vs_MosBeer	0.57606	0.79613
FG_vs_MosR1_WINE	0.59905	0.80379
FG_vs_MosR3_Sake	0.5413	0.85804
FG_vs_MosR3	0.43444	0.70894
FG_vs_MosR3_Wine	0.61052	0.81629
FG_vs_MR2_Wine	0.58764	0.83075
FG_vs_NortAmOak	0.40951	0.73109
FG_vs_Sake_AsianFerm	0.50529	0.83421
FG_vs_SAM1	0.48084	0.8074
FG_vs_SAM2	0.32713	0.56977
FG_vs_SAM3	0.3412	0.70251
FG_vs_Taiwanese	0.74625	0.93275
FG_vs_Taiwan	0.6292	0.86784
FG_vs_Tamaulipas	0.46054	0.7308
FG_vs_Tequila	0.3	0.60166
FG_vs_Wine12	0.3547	0.8157
FG_vs_Wine14	0.50857	0.83015
FrenDairy_vs_Mal19yCHNV	0.15215	0.29786
FrenDairy_vs_MedOak	0.26903	0.36015
FrenDairy_vs_MixOrigin8	0.23329	0.25488
FrenDairy_vs_MMMG	0.34906	0.63555
FrenDairy_vs_MosBeer	0.10582	0.17035
FrenDairy_vs_MosR1_WINE	0.029524	0.091399
FrenDairy_vs_MosR3_Sake	-0.06348	0.25522
FrenDairy_vs_MosR3	0.0085534	0.070104
FrenDairy_vs_MosR3_Wine	0.064247	0.17574
FrenDairy_vs_MR2_Wine	0.16841	0.34139
FrenDairy_vs_NortAmOak	0.23427	0.41231
FrenDairy_vs_Sake_AsianFerm	0.35217	0.60282
FrenDairy_vs_SAM1	0.42829	0.67578
FrenDairy_vs_SAM2	0.1437	0.34072
FrenDairy_vs_SAM3	0.13064	0.21431
FrenDairy_vs_Taiwanese	0.45135	0.71659
FrenDairy_vs_Taiwan	0.39627	0.62605
FrenDairy_vs_Tamaulipas	0.51711	0.58876
FrenDairy_vs_Tequila	0.15792	0.2449
FrenDairy_vs_Wine12	0.20228	0.44905
FrenDairy_vs_Wine14	0.37678	0.49579
Mal19yCHNV_vs_MedOak	0.50282	0.67273
